
[TRAIN]------------------2022-03-23 04:20:42------------------

[TRAIN]------------------2022-03-23 04:22:07------------------
IT 334, LR 0.001000, TEER/TAcc 44.41, TLOSS 3.722816
IT 335, LR 0.001000, TEER/TAcc 45.49, TLOSS 3.655312
IT 336, LR 0.001000, TEER/TAcc 44.66, TLOSS 3.723367
IT 337, LR 0.001000, TEER/TAcc 44.69, TLOSS 3.709596
IT 338, LR 0.001000, TEER/TAcc 44.89, TLOSS 3.738619
IT 339, LR 0.001000, TEER/TAcc 45.40, TLOSS 3.665554
IT 340, LR 0.001000, TEER/TAcc 43.87, TLOSS 3.726039, VEER 10.3052, MINEER 10.2178
IT 341, LR 0.001000, TEER/TAcc 44.87, TLOSS 3.745791
IT 342, LR 0.001000, TEER/TAcc 44.65, TLOSS 3.724021
IT 343, LR 0.001000, TEER/TAcc 45.53, TLOSS 3.672543
IT 344, LR 0.001000, TEER/TAcc 44.48, TLOSS 3.676401
IT 345, LR 0.001000, TEER/TAcc 45.20, TLOSS 3.708802
IT 346, LR 0.001000, TEER/TAcc 45.42, TLOSS 3.653193
IT 347, LR 0.001000, TEER/TAcc 45.61, TLOSS 3.643445
IT 348, LR 0.001000, TEER/TAcc 44.80, TLOSS 3.697666
IT 349, LR 0.001000, TEER/TAcc 44.31, TLOSS 3.701037
IT 350, LR 0.001000, TEER/TAcc 44.30, TLOSS 3.708029, VEER 10.4598, MINEER 10.2178
IT 351, LR 0.001000, TEER/TAcc 45.35, TLOSS 3.716091
